English,French
Hello,Bonjour
Hi,Salut
Good morning,Bonjour
Good evening,Bonsoir
How are you?,Comment allez-vous ?
I am fine.,Je vais bien.
I love you.,Je t'aime.
Thank you.,Merci.
Please.,S'il vous plaît.
Excuse me.,Excusez-moi.
Where is this location?,Où se trouve cet endroit ?
How do I get there?,Comment puis-je y aller ?
What time is it?,Quelle heure est-il ?
Where can I get food?,Où puis-je manger ?
I need help.,J'ai besoin d'aide.
Hello (16),Bonjour (16)
Hi (17),Salut (17)
Good morning (18),Bonjour (18)
Good evening (19),Bonsoir (19)
How are you? (20),Comment allez-vous ? (20)
I am fine. (21),Je vais bien. (21)
I love you. (22),Je t'aime. (22)
Thank you. (23),Merci. (23)
Please. (24),S'il vous plaît. (24)
Excuse me. (25),Excusez-moi. (25)
Where is this location? (26),Où se trouve cet endroit ? (26)
How do I get there? (27),Comment puis-je y aller ? (27)
What time is it? (28),Quelle heure est-il ? (28)
Where can I get food? (29),Où puis-je manger ? (29)
I need help. (30),J'ai besoin d'aide. (30)
Hello (31),Bonjour (31)
Hi (32),Salut (32)
Good morning (33),Bonjour (33)
Good evening (34),Bonsoir (34)
How are you? (35),Comment allez-vous ? (35)
I am fine. (36),Je vais bien. (36)
I love you. (37),Je t'aime. (37)
Thank you. (38),Merci. (38)
Please. (39),S'il vous plaît. (39)
Excuse me. (40),Excusez-moi. (40)
Where is this location? (41),Où se trouve cet endroit ? (41)
How do I get there? (42),Comment puis-je y aller ? (42)
What time is it? (43),Quelle heure est-il ? (43)
Where can I get food? (44),Où puis-je manger ? (44)
I need help. (45),J'ai besoin d'aide. (45)
Hello (46),Bonjour (46)
Hi (47),Salut (47)
Good morning (48),Bonjour (48)
Good evening (49),Bonsoir (49)
How are you? (50),Comment allez-vous ? (50)
I am fine. (51),Je vais bien. (51)
I love you. (52),Je t'aime. (52)
Thank you. (53),Merci. (53)
Please. (54),S'il vous plaît. (54)
Excuse me. (55),Excusez-moi. (55)
Where is this location? (56),Où se trouve cet endroit ? (56)
How do I get there? (57),Comment puis-je y aller ? (57)
What time is it? (58),Quelle heure est-il ? (58)
Where can I get food? (59),Où puis-je manger ? (59)
I need help. (60),J'ai besoin d'aide. (60)
Hello (61),Bonjour (61)
Hi (62),Salut (62)
Good morning (63),Bonjour (63)
Good evening (64),Bonsoir (64)
How are you? (65),Comment allez-vous ? (65)
I am fine. (66),Je vais bien. (66)
I love you. (67),Je t'aime. (67)
Thank you. (68),Merci. (68)
Please. (69),S'il vous plaît. (69)
Excuse me. (70),Excusez-moi. (70)
Where is this location? (71),Où se trouve cet endroit ? (71)
How do I get there? (72),Comment puis-je y aller ? (72)
What time is it? (73),Quelle heure est-il ? (73)
Where can I get food? (74),Où puis-je manger ? (74)
I need help. (75),J'ai besoin d'aide. (75)
Hello (76),Bonjour (76)
Hi (77),Salut (77)
Good morning (78),Bonjour (78)
Good evening (79),Bonsoir (79)
How are you? (80),Comment allez-vous ? (80)
I am fine. (81),Je vais bien. (81)
I love you. (82),Je t'aime. (82)
Thank you. (83),Merci. (83)
Please. (84),S'il vous plaît. (84)
Excuse me. (85),Excusez-moi. (85)
Where is this location? (86),Où se trouve cet endroit ? (86)
How do I get there? (87),Comment puis-je y aller ? (87)
What time is it? (88),Quelle heure est-il ? (88)
Where can I get food? (89),Où puis-je manger ? (89)
I need help. (90),J'ai besoin d'aide. (90)
Hello (91),Bonjour (91)
Hi (92),Salut (92)
Good morning (93),Bonjour (93)
Good evening (94),Bonsoir (94)
How are you? (95),Comment allez-vous ? (95)
I am fine. (96),Je vais bien. (96)
I love you. (97),Je t'aime. (97)
Thank you. (98),Merci. (98)
Please. (99),S'il vous plaît. (99)
Excuse me. (100),Excusez-moi. (100)
Where is this location? (101),Où se trouve cet endroit ? (101)
How do I get there? (102),Comment puis-je y aller ? (102)
What time is it? (103),Quelle heure est-il ? (103)
Where can I get food? (104),Où puis-je manger ? (104)
I need help. (105),J'ai besoin d'aide. (105)
Hello (106),Bonjour (106)
Hi (107),Salut (107)
Good morning (108),Bonjour (108)
Good evening (109),Bonsoir (109)
How are you? (110),Comment allez-vous ? (110)
I am fine. (111),Je vais bien. (111)
I love you. (112),Je t'aime. (112)
Thank you. (113),Merci. (113)
Please. (114),S'il vous plaît. (114)
Excuse me. (115),Excusez-moi. (115)
Where is this location? (116),Où se trouve cet endroit ? (116)
How do I get there? (117),Comment puis-je y aller ? (117)
What time is it? (118),Quelle heure est-il ? (118)
Where can I get food? (119),Où puis-je manger ? (119)
I need help. (120),J'ai besoin d'aide. (120)
Hello (121),Bonjour (121)
Hi (122),Salut (122)
Good morning (123),Bonjour (123)
Good evening (124),Bonsoir (124)
How are you? (125),Comment allez-vous ? (125)
I am fine. (126),Je vais bien. (126)
I love you. (127),Je t'aime. (127)
Thank you. (128),Merci. (128)
Please. (129),S'il vous plaît. (129)
Excuse me. (130),Excusez-moi. (130)
Where is this location? (131),Où se trouve cet endroit ? (131)
How do I get there? (132),Comment puis-je y aller ? (132)
What time is it? (133),Quelle heure est-il ? (133)
Where can I get food? (134),Où puis-je manger ? (134)
I need help. (135),J'ai besoin d'aide. (135)
Hello (136),Bonjour (136)
Hi (137),Salut (137)
Good morning (138),Bonjour (138)
Good evening (139),Bonsoir (139)
How are you? (140),Comment allez-vous ? (140)
